Subject,dkey,skey,Block,TrialNum,CorrResp,Match,Probe,Accuracy,RTms,Ziffer1,Ziffer2,Ziffer3,Ziffer4,Ziffer5,n_pre,n_filter,n_finalintra,LogRT,RTs,RespSpeed,PropFilter,PropDel,PropTotal
45,l,d,S5,28,d,1,9,1,1086,7,9,0,3,8,19,19,19,6.99025650049388,1.086,0.920810313075506,0,0,0
45,l,d,S5,29,l,0,1,1,1298,3,6,8,0,5,19,19,19,7.16857989726403,1.298,0.770416024653313,0,0,0
45,l,d,S5,30,l,0,9,1,850,0,5,8,1,7,19,19,19,6.74523634948436,0.85,1.17647058823529,0,0,0
45,l,d,S5,31,d,1,0,1,1943,8,0,3,2,6,19,19,19,7.57198844937744,1.943,0.514668039114771,0,0,0
45,l,d,S5,32,l,0,8,1,1073,5,6,0,1,2,19,19,19,6.9782137426307,1.073,0.931966449207829,0,0,0
45,l,d,S5,33,l,0,3,1,998,4,9,8,0,2,19,19,19,6.90575327631146,0.998,1.00200400801603,0,0,0
45,l,d,S5,34,l,0,8,1,1098,6,0,1,4,2,19,19,19,7.00124562206948,1.098,0.910746812386157,0,0,0
45,l,d,S5,35,d,1,6,1,1186,0,7,6,4,9,19,19,19,7.07834157955767,1.186,0.843170320404722,0,0,0
45,l,d,S5,36,l,0,9,1,2186,7,3,5,8,2,19,19,19,7.68982866873648,2.186,0.457456541628545,0,0,0
45,l,d,S5,37,d,1,4,1,1358,7,4,6,3,0,19,19,19,7.21376830811864,1.358,0.736377025036819,0,0,0
45,l,d,S5,38,l,0,7,1,1027,1,5,8,4,9,19,19,19,6.93439720992856,1.027,0.973709834469328,0,0,0
45,l,d,S5,40,l,0,7,1,2428,6,1,8,9,5,19,19,19,7.79482315217939,2.428,0.411861614497529,0,0,0
46,l,d,S3,1,l,0,8,1,921,4,7,6,NA,NA,20,19,19,6.82546003625531,0.921,1.085776330076,0.05,0,0.05
46,l,d,S3,3,d,1,8,1,641,8,1,0,NA,NA,20,20,20,6.46302945692067,0.641,1.5600624024961,0,0,0
46,l,d,S3,4,d,1,4,1,967,8,4,7,NA,NA,20,20,20,6.87419849545329,0.967,1.03412616339193,0,0,0
46,l,d,S3,5,l,0,6,1,676,4,1,2,NA,NA,20,19,19,6.51619307604296,0.676,1.4792899408284,0.05,0,0.05
46,l,d,S3,6,l,0,2,1,824,4,3,0,NA,NA,20,19,19,6.71417052990947,0.824,1.21359223300971,0.05,0,0.05
46,l,d,S3,7,l,0,1,1,1071,0,4,3,NA,NA,20,19,19,6.97634807044775,1.071,0.933706816059757,0.05,0,0.05
46,l,d,S3,8,d,1,0,1,884,1,0,5,NA,NA,20,20,20,6.78445706263764,0.884,1.13122171945701,0,0,0
46,l,d,S3,9,l,0,7,1,1140,9,6,1,NA,NA,20,19,19,7.03878354138854,1.14,0.87719298245614,0.05,0,0.05
46,l,d,S3,10,l,0,9,1,754,0,7,1,NA,NA,20,19,19,6.62539236800796,0.754,1.3262599469496,0.05,0,0.05
46,l,d,S3,11,d,1,7,1,551,3,5,7,NA,NA,20,20,20,6.31173480915291,0.551,1.81488203266788,0,0,0
46,l,d,S3,12,d,1,1,1,592,0,1,5,NA,NA,20,20,20,6.38350663488401,0.592,1.68918918918919,0,0,0
46,l,d,S3,13,d,1,5,1,784,5,6,3,NA,NA,20,20,20,6.66440902035041,0.784,1.27551020408163,0,0,0
46,l,d,S3,14,l,0,3,1,960,2,8,1,NA,NA,20,19,19,6.86693328446188,0.96,1.04166666666667,0.05,0,0.05
46,l,d,S3,15,d,1,6,1,498,6,3,0,NA,NA,20,20,20,6.21060007702465,0.498,2.00803212851406,0,0,0
46,l,d,S3,16,d,1,4,1,669,4,9,6,NA,NA,20,20,20,6.50578406012823,0.669,1.49476831091181,0,0,0
46,l,d,S3,17,d,1,9,1,666,4,1,9,NA,NA,20,20,20,6.50128967054039,0.666,1.5015015015015,0,0,0
46,l,d,S3,18,l,0,6,1,750,0,2,1,NA,NA,20,19,19,6.62007320653036,0.75,1.33333333333333,0.05,0,0.05
46,l,d,S3,19,l,0,8,1,568,7,5,6,NA,NA,20,19,19,6.34212141872115,0.568,1.76056338028169,0.05,0,0.05
46,l,d,S3,20,d,1,9,1,952,8,1,9,NA,NA,20,20,20,6.85856503479136,0.952,1.05042016806723,0,0,0
46,l,d,S3,21,d,1,8,1,562,1,8,5,NA,NA,20,20,20,6.33150184989369,0.562,1.77935943060498,0,0,0
46,l,d,S3,22,l,0,1,1,691,9,6,4,NA,NA,20,19,19,6.53813982376767,0.691,1.44717800289436,0.05,0,0.05
46,l,d,S3,23,d,1,4,1,507,4,6,8,NA,NA,20,20,20,6.22851100359118,0.507,1.9723865877712,0,0,0
46,l,d,S3,24,d,1,0,1,510,4,5,0,NA,NA,20,20,20,6.23441072571837,0.51,1.96078431372549,0,0,0
46,l,d,S3,25,l,0,3,1,662,7,5,1,NA,NA,20,19,19,6.49526555593701,0.662,1.51057401812689,0.05,0,0.05
46,l,d,S3,26,d,1,5,1,587,5,6,4,NA,NA,20,20,20,6.3750248198281,0.587,1.70357751277683,0,0,0
46,l,d,S3,27,l,0,2,1,971,5,8,3,NA,NA,20,19,19,6.87832646829133,0.971,1.02986611740474,0.05,0,0.05
46,l,d,S3,28,l,0,0,1,740,6,8,9,NA,NA,20,19,19,6.60665018619822,0.74,1.35135135135135,0.05,0,0.05
46,l,d,S3,29,d,1,6,1,622,4,5,6,NA,NA,20,20,20,6.43294009273918,0.622,1.60771704180064,0,0,0
46,l,d,S3,30,d,1,4,1,628,9,5,4,NA,NA,20,20,20,6.4425401664682,0.628,1.59235668789809,0,0,0
46,l,d,S3,31,l,0,1,1,679,6,2,4,NA,NA,20,19,19,6.5206211275587,0.679,1.47275405007364,0.05,0,0.05
46,l,d,S3,32,d,1,9,1,808,1,6,9,NA,NA,20,20,20,6.69456205852109,0.808,1.23762376237624,0,0,0
46,l,d,S3,33,l,0,3,1,1227,6,5,7,NA,NA,20,19,19,7.11232744471091,1.227,0.814995925020375,0.05,0,0.05
46,l,d,S3,34,d,1,2,1,570,2,8,4,NA,NA,20,20,20,6.3456363608286,0.57,1.75438596491228,0,0,0
46,l,d,S3,35,l,0,7,1,690,5,2,9,NA,NA,20,19,19,6.5366915975913,0.69,1.44927536231884,0.05,0,0.05
46,l,d,S3,36,l,0,2,1,1238,3,4,6,NA,NA,20,19,19,7.12125245324454,1.238,0.807754442649435,0.05,0,0.05
46,l,d,S3,37,d,1,0,1,652,7,9,0,NA,NA,20,20,20,6.48004456192665,0.652,1.53374233128834,0,0,0
46,l,d,S3,38,l,0,3,1,730,6,9,8,NA,NA,20,19,19,6.59304453414244,0.73,1.36986301369863,0.05,0,0.05
46,l,d,S3,39,l,0,5,1,816,0,7,2,NA,NA,20,19,19,6.70441435496411,0.816,1.22549019607843,0.05,0,0.05
46,l,d,S3,40,d,1,7,1,655,7,4,3,NA,NA,20,20,20,6.48463523563525,0.655,1.52671755725191,0,0,0
46,l,d,S5,1,d,1,1,1,906,8,2,6,1,4,20,20,20,6.80903930604298,0.906,1.1037527593819,0,0,0
46,l,d,S5,2,l,0,3,1,906,8,7,2,0,5,20,20,20,6.80903930604298,0.906,1.1037527593819,0,0,0
46,l,d,S5,3,d,1,6,1,845,3,6,1,7,0,20,20,20,6.73933662735717,0.845,1.18343195266272,0,0,0
46,l,d,S5,4,l,0,8,1,999,1,6,7,0,4,20,20,20,6.90675477864855,0.999,1.001001001001,0,0,0
46,l,d,S5,5,l,0,5,1,754,4,2,6,9,0,20,20,20,6.62539236800796,0.754,1.3262599469496,0,0,0
46,l,d,S5,6,d,1,7,1,1052,3,7,0,6,9,20,20,20,6.95844839329766,1.052,0.950570342205323,0,0,0
